town,address,land_area,object_num,building_area,n_bed,n_hall,n_bath,price,unitprice,main_area,aux_area,balcony_area,trans_num,year,month,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,percent_aux,percent_balcony,n_story,n_material,n_urb_zoning,d_urban,d_elevator,completion_year,age,d_presale,d_comp,d_manager,d_spec_rel,d_presale_2,d_notreg,d_hotspring,d_leak,d_reno,closest_station,min_dist
礁溪鄉,宜蘭縣礁溪鄉匏杓崙路華美巷６號,91.14,土地1建物1車位0,121.46,2,2,2,3800000.0,31286.0,121.46,0.0,0.0,,2021,11,3070,4532,10346,15118,0.0,0.0,2.0,enf_brick,res,1,0.0,1978.0,43.0,0,1,0,0,0,0,0,0,0,四城,3070
五結鄉,宜蘭縣五結鄉自強路３９號,80.85,土地3建物1車位0,159.93,4,2,2,10500000.0,65654.0,144.8,0.0,15.13,438.0,2021,11,13736,11466,7079,3746,0.0,9.46,3.0,rc,res,1,0.0,2012.0,9.0,0,1,0,0,0,0,0,0,0,羅東,3746
冬山鄉,宜蘭縣冬山鄉順安路１４３巷５弄１號,79.19,土地1建物1車位0,173.28,4,3,3,6500000.0,37512.0,164.86,0.66,7.76,,2021,11,20527,12748,9338,5371,0.38,4.4799999999999995,4.0,rc,,0,0.0,1994.0,27.0,0,1,0,0,0,0,0,0,0,羅東,5371
羅東鎮,宜蘭縣羅東鎮中山路一段３９５號,88.69,土地1建物1車位0,226.92,0,0,0,9400000.0,41424.0,208.32,0.0,18.6,,2021,11,15230,12961,8039,2063,0.0,8.200000000000001,4.0,rc,,0,0.0,1993.0,28.0,0,0,0,0,0,0,0,0,0,羅東,2063
五結鄉,宜蘭縣五結鄉五結中路一段１１１巷３弄１號,68.81,土地1建物1車位0,83.68,3,2,2,6000000.0,71702.0,83.68,0.0,0.0,441.0,2021,11,14542,12272,8106,3610,0.0,0.0,2.0,enf_brick,,0,0.0,1981.0,40.0,0,1,0,0,0,0,0,0,0,羅東,3610
壯圍鄉,宜蘭縣壯圍鄉順和路２１之６０號,101.65,土地5建物1車位0,171.54,4,2,5,7950000.0,46345.0,164.41,0.0,7.13,,2021,11,6192,5857,8625,14920,0.0,4.16,3.0,rc,,0,0.0,2020.0,1.0,0,1,0,0,0,0,0,0,0,宜蘭,5857
宜蘭市,宜蘭縣宜蘭市泰山路民族二巷２弄２２號,116.12,土地2建物1車位0,265.5,4,2,4,17800000.0,67043.0,231.21,0.0,5.11,,2021,11,4214,1240,4356,9988,0.0,1.92,3.0,rc,res,1,0.0,2005.0,16.0,0,1,1,0,0,0,0,0,0,宜蘭,1240
壯圍鄉,宜蘭縣壯圍鄉壯濱路五段８７巷９號,115.0,土地2建物1車位0,187.9,4,2,4,7120000.0,37892.0,169.11,0.0,18.79,,2021,11,6614,7415,10184,16479,0.0,10.0,3.0,rc,,0,0.0,2020.0,1.0,0,1,0,1,0,0,0,0,0,四城,6614
宜蘭市,宜蘭縣宜蘭市延平路６０巷１２２弄１１號,87.66,土地2建物1車位0,197.65,4,2,3,12000000.0,60713.0,180.29,0.0,17.36,445.0,2021,11,5077,1641,3380,9047,0.0,8.780000000000001,3.0,rc,res,1,0.0,2016.0,5.0,0,1,0,0,0,0,0,0,0,宜蘭,1641
宜蘭市,宜蘭縣宜蘭市健康路二段８巷２１號,105.81,土地1建物1車位0,113.49,3,3,2,8210000.0,72341.0,113.49,0.0,0.0,,2021,11,5206,1369,3260,8892,0.0,0.0,2.0,enf_brick,res,1,0.0,1976.0,45.0,0,1,0,0,0,0,0,0,0,宜蘭,1369
