縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
桃園縣,桃園市,中正三街-中正三街351至400號,10,臨街地,住宅大樓,鋼筋混凝土造,０９４０４,100年12月,12,11,住宅區,8.64,59.39,750,12.63
桃園縣,桃園市,中正三街-中正路與永安路間,10,裡地,集合住宅,鋼筋混凝土造,０８３０９,094年01月,8,7,住宅區,5.42,35.19,265,7.53
桃園縣,桃園市,中正三街-永光街至長春路之間,8,裡地,透天住宅,加強磚造,０６０１２,094年01月,2,全,住宅區,17.24,28.23,310,10.98
桃園縣,桃園市,中正三街-永光街與長春路之間,10,臨街地,透天住宅,鋼筋混凝土造,０７５０３,099年12月,3,全,住宅區,19.06,41.95,1000,23.84
桃園縣,桃園市,中正三街-永光街與埔新路之間,10,臨街地,透天住宅,鋼筋混凝土造,０７５０３,096年07月,3,全,住宅區,19.06,41.95,800,19.07
桃園縣,桃園市,中正三街-永光街與福清街之間,10,裡地,透天住宅,加強磚造,０６００７,090年07月,2,全,住宅區,33.58,58.64,1000,17.05
桃園縣,桃園市,中正三街-永安路與永光街之間,10,裡地,華廈,鋼筋混凝土造,０８３０９,099年07月,8,4,住宅區,5.64,36.62,235,6.42
桃園縣,桃園市,中正三街-永安路與永康街之間,10,臨街地,住宅大樓,鋼筋混凝土造,０９７０４,099年04月,11,3,住宅區,4.62,28.17,400,14.20
桃園縣,桃園市,中正三街-永康街與中正路之間,10,臨街地,住宅大樓,鋼筋混凝土造,０９７０４,098年04月,13,7,住宅區,4.62,28.17,395,14.02
桃園縣,桃園市,中正三街-永康街與中正路間,10,裡地,華廈,鋼筋混凝土造,０８３０９,098年07月,8,5,住宅區,5.64,36.62,310,8.47
桃園縣,桃園市,中正三街-永康街與永光街之間,6,臨街地,住宅大樓,鋼筋混凝土造,０８２０４,092年01月,7,4,住宅區,5.68,22.97,190,8.27
桃園縣,桃園市,中正三街-永康街與永光街間,10,臨街地,透天住宅,鋼筋混凝土造,０９７０２,098年01月,4,全,住宅區,31.76,74.35,1300,17.48
桃園縣,桃園市,中正三街-永康街與永安路之間,10,臨街地,住宅大樓,鋼筋混凝土造,０９７０４,099年07月,11,2,住宅區,4.62,33.10,450,13.60
桃園縣,桃園市,中正三街-永康街與永安路之間,10,臨街地,住宅大樓,鋼筋混凝土造,０９７０４,099年07月,11,4,住宅區,4.62,28.17,400,14.20
桃園縣,桃園市,中正三街-永康街與成功國小之間,10,臨街地,華廈,鋼筋混凝土造,０８４１０,100年01月,7,5,住宅區,7.29,36.97,330,8.93
桃園縣,桃園市,中正三街-永康街與成功國小間,10,裡地,套房,鋼筋混凝土造,０８３０９,100年01月,8,8,住宅區,0.05,9.84,135,13.72
桃園縣,桃園市,中正三街-永康街與長春路之間,10,臨街地,透天住宅,鋼筋混凝土造,０９７０２,097年12月,4,全,住宅區,28.13,67.13,1050,15.64
桃園縣,桃園市,中正三街-永康街與埔新街之間,10,臨街地,住宅大樓,鋼筋混凝土造,０９７０４,099年01月,11,5,住宅區,4.62,28.17,360,12.78
桃園縣,桃園市,中正三街-永康街與埔新路之間,10,臨街地,住宅大樓,鋼筋混凝土造,０９７０４,098年10月,11,11,住宅區,5.63,45.35,580,12.79
