縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
宜蘭縣,五結鄉,孝威路267巷-孝威派出所附近,8,裡地,透天住宅,鋼筋混凝土加強磚造,０７０１０,100年07月,2,全,甲種建築用地,21.78,29.32,230,7.84
宜蘭縣,五結鄉,孝威路-孝威派出所附近,8,臨街地,透天住宅,鋼筋混凝土加強磚造,０７０１０,100年07月,2,全,甲種建築用地,23.59,33.40,215,6.44
宜蘭縣,五結鄉,孝威路-孝威路與良安宮附近,14,裡地,農舍,磚造,０７４０８,096年01月,1,全,農牧用地,400.81,20.85,362,17.36
宜蘭縣,五結鄉,協同街1巷-協同街1巷1號至50號間,6,裡地,透天住宅,鋼筋混凝土加強磚造,０６６１２,100年07月,2,全,住宅區,22.69,32.07,300,9.35
宜蘭縣,五結鄉,協同街-五結國小附近,15,臨街地,透天住宅,加強磚造,０６８０８,092年07月,2,全,住宅區,39.32,31.99,260,8.13
宜蘭縣,五結鄉,協同街-五結國小附近,6,裡地,透天住宅,加強磚造,０６９０１,094年01月,2,全,住宅區,23.59,29.11,215,7.39
宜蘭縣,五結鄉,協同街-五結國小附近,6,裡地,透天住宅,鋼筋混凝土加強磚造,０６６１２,095年01月,2,全,住宅區,27.53,31.44,310,9.86
宜蘭縣,五結鄉,協同街-五結國小附近,6,臨街地,透天住宅,鋼筋混凝土加強磚造,０６９０１,096年04月,2,全,住宅區,27.53,29.85,250,8.38
宜蘭縣,五結鄉,協同街-協同街1號至50號間,6,臨街地,透天住宅,鋼筋混凝土加強磚造,０６８０８,100年04月,2,全,住宅區,25.71,30.63,230,7.51
宜蘭縣,五結鄉,協和中路2巷-五結鄉衛生所附近,8,裡地,透天住宅,鋼筋混凝土造,０９７０７,100年01月,3,全,住宅區,30.86,66.25,670,10.11
宜蘭縣,五結鄉,協和中路2巷-五結衛生所附近,8,裡地,透天住宅,鋼筋混凝土造,０９７０７,099年12月,3,全,住宅區,30.55,65.10,700,10.75
宜蘭縣,五結鄉,協和中路2巷-五結衛生所附近,8,裡地,透天住宅,鋼筋混凝土造,０９７０７,100年01月,3,全,住宅區,30.55,65.68,780,11.88
宜蘭縣,五結鄉,協和中路4巷-五結鄉衛生所附近,8,裡地,透天住宅,鋼筋混凝土造,０９７０２,099年04月,4,全,住宅區,26.62,70.95,650,9.16
宜蘭縣,五結鄉,協和中路4巷-五結鄉衛生所附近,8,裡地,透天住宅,鋼筋混凝土造,０９７０２,099年07月,4,全,住宅區,26.32,70.95,630,8.88
宜蘭縣,五結鄉,協和中路4巷-五結衛生所附近,8,裡地,透天住宅,鋼筋混凝土造,０９７０７,099年12月,3,全,住宅區,30.25,65.96,700,10.61
宜蘭縣,五結鄉,協和中路5巷-五結鄉衛生所附近,6,裡地,透天住宅,鋼筋混凝土造,０９７０２,099年07月,4,全,住宅區,26.92,70.95,610,8.60
